Tanggal,Shipping 1 - Gross Vol,Shipping 1 - Temperature,Shipping 1 - API,Shipping 1 - Meter Factor,Shipping 1 - CTL,Shipping 1 - CPL,Shipping 1 - GSV,Shipping 1 - S&W,Shipping 1,Shipping 1 - RVP,Shipping 1 - Net Volume,Shipping 2 - Gross Vol,Shipping 2 - Temperature,Shipping 2 - API,Shipping 2 - Meter Factor,Shipping 2 - CTL,Shipping 2 - CPL,Shipping 2 - GSV,Shipping 2 - S&W,Shipping 2,Shipping 2 - RVP,Shipping 2 - Net Volume,Total Net Vol,Condensate Mix - Shrinkage Lv 2,Condensate Mix - Alokasi Volume,Condensate Mix - Alokasi Factor,Condensate Mix - Receive Volume 
2026-04-01,4615,86.0,67.9,1.0,0.9823,1.0,4533.3145,0.0,0.0,10.4,4533.3145,8327.0,100.0,64.4,1.0,0.9738,1.0,8108.8326,0.0,0.0,10.8,8108.8326,12642.147099999998,7.474234665292774,12634.672865334704,0.9907336072683416,12517.595024528484
2026-04-02,4669,84.0,67.8,1.0,0.9837,1.0,4592.8953,0.0,0.0,10.3,4592.8953,8203.0,100.0,64.3,1.0,0.9738,1.0,7988.0814,0.0,0.0,10.8,7988.0814,12580.9767,7.28334732629345,12573.693352673708,1.019634667950701,12820.573646567387
2026-04-03,4283,86.0,69.0,1.0,0.9822,1.0,4206.7626,0.0,0.0,10.0,4206.7626,8294.0,100.0,64.6,1.0,0.9737,1.0,8075.8678,0.0,0.0,10.8,8075.8678,12282.6304,8.597426343209861,12274.032973656793,1.00003009127426,12274.402314949277
2026-04-04,5125,84.0,68.5,1.0,0.9836,1.0,5040.95,0.0,0.0,10.0,5040.95,8266.0,100.0,65.7,1.0,0.9735,1.0,8046.951,0.0,0.0,11.0,8046.951,13087.901,8.022469042892494,13079.878530957109,0.9924433260917852,12981.038154139604
2026-04-05,5005,84.0,69.1,1.0,0.9835,1.0,4922.4175000000005,0.0,0.0,10.2,4922.4175000000005,8374.0,100.0,65.1,1.0,0.9736,1.0,8152.9264,0.0,0.0,10.8,8152.9264,13075.3439,7.273863852740932,13068.07003614726,0.9556918805018964,12489.04842737606
2026-04-06,5085,84.0,68.7,1.0,0.9836,1.0,5001.606,0.0,0.0,10.0,5001.606,8570.0,108.0,64.7,1.0,0.969,1.0,8304.33,0.0,0.0,10.8,8304.33,13305.936,6.762797038432874,13299.173202961569,0.9840720712920912,13087.344920310665
2026-04-07,4994,84.0,69.7,1.0,0.9834,1.0,4911.0996000000005,0.0,0.0,10.2,4911.0996000000005,8167.0,106.0,64.4,1.0,0.9699,1.0,7921.173299999999,0.0,0.0,10.8,7921.173299999999,12832.2729,6.920794215903633,12825.352105784095,0.9999787333076434,12825.0793529665
2026-04-08,4945,85.0,68.6,1.0,0.9829,1.0,4860.4405,0.0,0.0,10.0,4860.4405,8036.0,106.0,65.6,1.0,0.9695,1.0,7790.902,0.0,0.0,11.2,7790.902,12651.3425,7.282286486884561,12644.060213513114,1.0046364644700752,12702.683949450558
2026-04-09,5079,86.0,72.8,1.0,0.9822,1.0,4988.5938,0.0,0.0,10.2,4988.5938,8171.0,106.0,71.0,1.0,0.9697,1.0,7923.4187,0.0,0.0,11.6,7923.4187,12912.0125,12.06230568176328,12899.950194318237,0.9697171529225208,12509.302975276598
2026-04-10,5115,84.0,71.5,1.0,0.9836,1.0,5031.1140000000005,0.0,0.0,10.4,5031.1140000000005,8560.0,106.0,71.0,1.0,0.9697,1.0,8300.632,0.0,0.0,10.4,8300.632,13331.746,11.258220116329566,13320.48777988367,1.034523159982196,13780.35311054948
2026-04-11,4746,82.0,69.2,1.0,0.9849,1.0,4674.3354,0.0,0.0,10.0,4674.3354,8146.0,106.0,64.6,1.0,0.9698,1.0,7899.9908,0.0,0.0,10.2,7899.9908,12574.3262,6.5542945759967965,12567.771905424002,0.9822395095810382,12344.562112910022
