Tanggal,Gross Vol,Temperature,API,VCF,GSV,S&W,col7,Net Volume,RVP,Emulsi,Evaporasi,Shrinkage Lv 1 ,Shrinkage Lv 2,Alokasi Volume,Alokasi Factor, Receive Volume
2026-04-01,5813,96.0,48.6,0.9809,5701.9717,0.0,0.0,5701.9717,7.77,,,,3.37109465690827,5698.600605343092,0.9940421135376732,5664.648989942311
2026-04-02,6272,96.0,48.5,0.981,6152.832,0.0,0.0,6152.832,7.77,,,,3.5619819959075825,6149.270018004093,1.0000273044997816,6149.437920745957
2026-04-03,5616,96.0,48.2,0.981,5509.296,0.0,0.0,5509.296,7.77,,,,3.856321082733281,5505.439678917267,0.9999462726272104,5505.143886107267
2026-04-04,5654,94.0,49.1,0.9819,5551.6626,0.0,0.0,5551.6626,7.77,,,,3.402993447542433,5548.259606552458,0.9789860068225328,5431.668517033548
2026-04-05,5259,96.0,50.1,0.9805,5156.449500000001,0.0,0.0,5156.449500000001,7.77,,,,2.868552591303856,5153.580947408696,1.071279763333278,5520.926977658879
2026-04-06,5209,96.0,50.3,0.9804,5106.903600000001,0.0,0.0,5106.903600000001,7.77,,,,2.5956048895502115,5104.30799511045,1.0023686368389644,5116.398247065089
2026-04-07,5259,96.0,50.5,0.9804,5155.9236,0.0,0.0,5155.9236,7.77,,,,2.780730000569193,5153.142869999431,1.0000148179076975,5153.219228794831
2026-04-08,5380,93.0,49.9,0.9821,5283.697999999999,0.0,0.0,5283.697999999999,7.77,,,,3.041369131076721,5280.656630868923,0.9597444819896976,5068.081062758755
2026-04-09,5020,93.0,50.6,0.982,4929.64,0.0,0.0,4929.64,7.77,,,,4.605232885349788,4925.03476711465,1.0655950535941772,5248.092686616721
2026-04-10,5525,94.0,50.4,0.9815,5422.7875,0.0,0.0,5422.7875,7.77,,,,4.579365322372668,5418.208134677628,0.8947427868047567,4847.902645909663
2026-04-11,5358,94.0,50.6,0.9814,5258.3412,0.0,0.0,5258.3412,7.77,,,,2.740879841808183,5255.600320158192,1.0199033870225085,5360.204567365919
2026-04-12,6648,95.0,47.6,0.9822,6529.665599999999,0.0,0.0,6529.665599999999,7.77,,,,4.62014358544652,6525.045456414553,0.7951402595563241,5188.326337830281
2026-04-13,6150,94.0,48.8,0.9819,6038.685,0.0,0.0,6038.685,7.77,,,,3.7116348676463566,6034.973365132354,1.070597323755089,6461.026333643942
2026-04-14,6283,94.0,47.9,0.9821,6170.5343,0.0,0.0,6170.5343,7.77,,,,4.344341981153411,6166.189958018847,0.9684736701001726,5971.792619177341
